Id,age,number_dependent_family_members,monthly_income,number_of_credit_lines,real_estate_loans,ratio_debt_payment_to_income,credit_line_utilization,number_of_previous_late_payments_up_to_59_days,number_of_previous_late_payments_up_to_89_days,number_of_previous_late_payments_90_days_or_more,defaulted_on_loan
49,28.0,0.0,2500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,24.0,0.0,3833.0,1.0,0.0,0.0,0.9999998999999999,0.0,,0.0,0
51,42.0,2.0,,21.0,3.0,0.645051746,0.459890914,0.0,0.0,0.0,0
52,59.0,0.0,5000.0,11.0,2.0,0.471905619,,0.0,0.0,0.0,0
53,,1.0,9666.0,7.0,1.0,0.291817524,0.135799213,0.0,0.0,0.0,0
54,49.0,2.0,4800.0,18.0,3.0,0.9277233909999999,0.7909399559999999,,0.0,0.0,0
55,40.0,0.0,6940.0,12.0,2.0,0.274312059,"0,8690534740000001",,0.0,0.0,0
56,52.0,2.0,1.0,9.0,1.0,1100.5,0.008197396,0.0,0.0,0.0,0
57,39.0,2.0,2849.0,4.0,1.0,0.449473684,0.628546432,0.0,,0.0,0
58,74.0,0.0,5666.0,,2.0,0.516499029,1.0035105640000002,0.0,0.0,0.0,0
59,37.0,1.0,5000.0,5.0,0.0,0.08618276300000001,"0,033161045",0.0,0.0,0.0,0
60,40.0,,,9.0,0.0,0.27267804,"0,0",0.0,0.0,0.0,0
61,26.0,1.0,2340.0,4.0,0.0,,0.209708208,0.0,0.0,0.0,0
62,40.0,0.0,,3.0,1.0,0.235640648,"0,844311377",0.0,0.0,0.0,0
63,,1.0,7750.0,5.0,1.0,0.304347826,"0,579933027",0.0,0.0,,0
64,36.0,0.0,7000.0,11.0,3.0,0.48964433700000004,0.022849243999999998,1.0,,0.0,0
65,,0.0,,2.0,0.0,0.016798966000000002,0.420715513,1.0,,,0
66,44.0,3.0,3772.0,8.0,1.0,0.537503313,0.207312114,0.0,0.0,0.0,1
67,49.0,4.0,54166.0,11.0,3.0,0.228847822,0.36857493799999996,0.0,0.0,,0
68,53.0,0.0,11730.0,3.0,1.0,0.189156935,0.16394146199999998,0.0,0.0,0.0,0
69,57.0,2.0,9100.0,10.0,,0.289089111,"0,276138013",0.0,0.0,0.0,0
70,51.0,0.0,12050.0,8.0,0.0,0.157912206,0.553677313,0.0,,,0
71,30.0,0.0,4100.0,3.0,0.0,0.145330407,0.285673475,0.0,0.0,0.0,0
72,80.0,0.0,2848.0,5.0,1.0,0.163917164,"0,007160051999999999",0.0,0.0,0.0,0
73,72.0,3.0,16518.0,16.0,2.0,0.49936436799999995,0.51774405,0.0,0.0,0.0,0
74,74.0,0.0,4500.0,5.0,0.0,0.010664297,0.030159058,0.0,0.0,0.0,0
75,46.0,3.0,6694.0,6.0,2.0,0.598207618,"0,556474706",0.0,0.0,0.0,0
76,39.0,1.0,2700.0,4.0,0.0,0.277674935,0.9233135570000001,0.0,1.0,0.0,1
77,32.0,0.0,5500.0,9.0,2.0,,,0.0,,,0
78,34.0,0.0,3000.0,2.0,0.0,0.09530156599999999,2.2290076340000002,1.0,0.0,15.0,0
79,46.0,4.0,6600.0,2.0,,0.141796697,,0.0,0.0,0.0,0
80,,0.0,4960.0,5.0,,0.44648256399999997,0.222462203,0.0,0.0,0.0,0
81,75.0,0.0,5401.0,8.0,0.0,0.24898185899999997,0.34623268799999996,0.0,0.0,0.0,1
82,45.0,4.0,11500.0,12.0,1.0,0.280410399,0.066079563,0.0,0.0,0.0,0
83,,0.0,3333.0,4.0,0.0,,0.0,0.0,0.0,0.0,0
84,56.0,1.0,19366.0,7.0,2.0,,0.014624086000000001,0.0,0.0,0.0,0
85,48.0,1.0,3000.0,32.0,1.0,0.775074975,0.088946475,0.0,0.0,0.0,0
86,83.0,0.0,3401.0,7.0,1.0,0.248677249,0.030320346,0.0,,,0
87,43.0,3.0,16150.0,12.0,2.0,0.238251501,0.07563111,0.0,0.0,0.0,0
88,36.0,0.0,12000.0,22.0,2.0,0.26639446699999997,0.151912549,0.0,0.0,0.0,0
89,39.0,0.0,2900.0,7.0,2.0,,"0,08793201099999999",0.0,0.0,0.0,0
90,30.0,2.0,4000.0,10.0,0.0,0.417895526,0.9449195340000001,1.0,0.0,0.0,0
91,74.0,,3788.0,12.0,1.0,0.455265241,0.221444504,1.0,0.0,0.0,0
92,44.0,0.0,7208.0,5.0,1.0,0.373005965,0.052236940999999995,0.0,0.0,0.0,0
93,33.0,1.0,1200.0,6.0,1.0,0.950041632,"0,267577257",0.0,0.0,0.0,0
94,44.0,0.0,,4.0,1.0,0.15556535800000001,,0.0,0.0,0.0,0
95,57.0,3.0,,13.0,1.0,0.3567145,0.779376162,0.0,0.0,0.0,0
96,54.0,0.0,2500.0,6.0,0.0,0.120751699,,0.0,0.0,0.0,0
97,31.0,0.0,5250.0,10.0,1.0,0.380689392,0.9885008209999999,0.0,0.0,0.0,0
98,63.0,1.0,7513.0,24.0,2.0,0.35892999700000006,0.009395276,1.0,0.0,0.0,0
99,55.0,2.0,18250.0,13.0,,0.211276094,0.5636748739999999,1.0,0.0,0.0,0
100,60.0,2.0,11224.0,24.0,2.0,0.9438752779999999,0.7948777690000001,2.0,1.0,0.0,0
101,90.0,,2500.0,2.0,0.0,0.010795682,0.064709664,0.0,0.0,0.0,0
102,47.0,0.0,5552.0,7.0,2.0,0.66054385,0.348988367,0.0,0.0,0.0,0
103,44.0,0.0,2500.0,8.0,0.0,,0.892381636,0.0,0.0,0.0,0
104,31.0,0.0,7886.0,8.0,0.0,0.08837327199999999,0.378676898,0.0,0.0,0.0,0
105,54.0,0.0,600.0,1.0,0.0,0.7171381029999999,0.9999998999999999,,0.0,0.0,0
106,,1.0,11000.0,9.0,2.0,0.37014816799999994,0.054098648,0.0,0.0,0.0,0
107,55.0,0.0,2400.0,8.0,0.0,0.48146605600000003,0.04319784,0.0,0.0,0.0,0
108,66.0,0.0,2545.0,5.0,0.0,0.15435978,,0.0,0.0,0.0,0
109,60.0,0.0,7200.0,7.0,0.0,0.032217748,0.008374791,0.0,0.0,0.0,0
110,63.0,0.0,7385.0,22.0,,0.255077173,0.026503578,0.0,0.0,0.0,0
111,54.0,3.0,6250.0,10.0,1.0,0.23580227199999998,"0,022541635",0.0,0.0,0.0,0
112,30.0,1.0,9783.0,10.0,2.0,0.422526574,0.12729964900000001,0.0,0.0,0.0,0
113,42.0,1.0,3360.0,13.0,2.0,0.93394823,0.0,0.0,0.0,0.0,0
114,74.0,0.0,544.0,7.0,0.0,0.12293578,0.039369941,0.0,0.0,0.0,0
115,66.0,1.0,8400.0,13.0,1.0,0.24949410800000002,0.058914888,0.0,0.0,0.0,0
116,71.0,2.0,3000.0,5.0,0.0,0.029656781,0.120111509,0.0,0.0,0.0,0
117,72.0,0.0,10500.0,16.0,1.0,0.2335968,"0,035442862",0.0,0.0,0.0,0
118,53.0,0.0,7916.0,10.0,1.0,0.35215359399999996,0.1794826,0.0,0.0,0.0,0
119,71.0,1.0,6915.0,5.0,0.0,0.008241758,0.22538524899999998,0.0,0.0,0.0,0
120,43.0,0.0,10121.0,5.0,2.0,0.426397945,0.451584666,0.0,0.0,0.0,0
121,32.0,0.0,2600.0,0.0,0.0,0.0,"0,9999998999999999",0.0,0.0,0.0,0
122,60.0,1.0,6800.0,9.0,1.0,0.093221585,0.004161707,0.0,0.0,0.0,0
123,65.0,0.0,6800.0,8.0,1.0,0.209822085,0.055776538,0.0,0.0,0.0,0
124,,,2500.0,9.0,0.0,0.292682927,,,0.0,0.0,0
125,,0.0,2000.0,3.0,0.0,0.298350825,0.8391071840000001,1.0,0.0,0.0,0
126,65.0,1.0,11800.0,8.0,1.0,0.19235658,0.016814976000000002,0.0,0.0,0.0,0
127,52.0,0.0,8183.0,,1.0,0.326612903,"0,098163395",1.0,0.0,0.0,0
128,25.0,0.0,720.0,,0.0,0.760055479,0.10346279300000001,0.0,0.0,0.0,0
129,49.0,5.0,7800.0,9.0,2.0,0.33726445299999996,0.025943844,,0.0,0.0,0
130,,2.0,16667.0,12.0,2.0,0.835013199,0.035975786,0.0,0.0,0.0,0
131,62.0,1.0,,10.0,1.0,0.174434754,0.04297206,,0.0,0.0,0
132,,1.0,5300.0,7.0,1.0,,0.282854132,0.0,1.0,0.0,0
133,46.0,3.0,7653.0,15.0,2.0,,0.415348924,1.0,,0.0,0
134,59.0,2.0,3249.0,,1.0,1.093230769,0.387661954,0.0,0.0,0.0,0
135,72.0,0.0,2178.0,5.0,,0.421294172,0.133433283,0.0,1.0,0.0,0
136,53.0,2.0,4125.0,11.0,2.0,0.533446437,"0,980596393",0.0,0.0,0.0,0
137,61.0,0.0,7000.0,,2.0,0.6710469929999999,0.058437267,0.0,0.0,0.0,0
138,54.0,0.0,10416.0,7.0,1.0,,0.9999998999999999,1.0,1.0,0.0,1
139,45.0,2.0,0.0,8.0,0.0,133.0,0.066710513,,0.0,0.0,0
140,45.0,0.0,2500.0,16.0,,0.732506997,0.0,1.0,0.0,0.0,0
141,29.0,4.0,,2.0,0.0,,0.9999998999999999,0.0,0.0,0.0,0
142,48.0,,50000.0,8.0,0.0,0.038559229,0.7533659509999999,1.0,0.0,0.0,0
143,,3.0,11000.0,12.0,2.0,0.340332697,0.025859681000000002,0.0,0.0,0.0,0
144,48.0,3.0,6800.0,12.0,,0.5766799,0.9770127059999999,0.0,,0.0,0
145,41.0,3.0,5900.0,5.0,0.0,0.069310286,0.006896314000000001,1.0,0.0,0.0,0
146,42.0,2.0,10375.0,10.0,1.0,0.38213184299999997,0.10594276400000001,,0.0,,0
147,31.0,,2180.0,9.0,1.0,,0.533154029,0.0,0.0,0.0,0
148,64.0,0.0,3239.0,2.0,1.0,0.49104938299999995,"0,020395921",0.0,0.0,0.0,0
149,67.0,0.0,7120.0,6.0,1.0,0.235079343,0.514372993,0.0,0.0,0.0,0
150,37.0,0.0,,11.0,2.0,0.165398275,"0,00109081",0.0,0.0,0.0,0
151,43.0,0.0,3500.0,2.0,0.0,0.12910597,,0.0,0.0,0.0,0
152,44.0,3.0,7500.0,13.0,2.0,0.37581655799999997,,0.0,0.0,0.0,0
153,56.0,0.0,1500.0,4.0,0.0,0.077281812,0.092209595,0.0,0.0,0.0,0
154,,0.0,5600.0,6.0,1.0,0.210855204,0.980850703,1.0,0.0,0.0,1
155,50.0,0.0,3875.0,10.0,1.0,,,1.0,3.0,,0
156,84.0,0.0,1417.0,4.0,0.0,0.016925247,,0.0,0.0,0.0,0
157,37.0,0.0,4910.0,11.0,0.0,,0.637340241,0.0,,0.0,0
158,41.0,3.0,1000.0,10.0,1.0,3.4935064939999996,0.21397525899999997,0.0,,0.0,0
159,52.0,0.0,17458.0,12.0,1.0,0.165931611,0.029836632000000002,,,0.0,0
160,85.0,0.0,2500.0,8.0,1.0,0.20591763300000002,0.009336845,0.0,0.0,0.0,0
161,57.0,3.0,7100.0,6.0,0.0,0.063089706,"0,09306489400000001",0.0,0.0,0.0,0
162,30.0,0.0,4446.0,12.0,1.0,0.41466157,0.5797850179999999,1.0,0.0,0.0,0
163,50.0,,13039.0,7.0,1.0,,0.019965486,0.0,0.0,0.0,0
164,51.0,0.0,5000.0,8.0,1.0,0.339732054,0.0,0.0,0.0,0.0,0
165,67.0,0.0,723.0,1.0,0.0,0.008287293000000001,0.8366533859999999,0.0,0.0,,0
166,55.0,0.0,11422.0,20.0,2.0,0.345443404,0.37370320799999995,1.0,,0.0,0
167,40.0,1.0,6780.0,3.0,1.0,0.23492110300000002,0.11639418,0.0,0.0,0.0,0
168,62.0,0.0,6200.0,11.0,3.0,1.020158039,0.0,1.0,0.0,0.0,0
169,35.0,,5625.0,12.0,0.0,0.23658016399999998,0.9189387370000001,1.0,0.0,0.0,0
170,39.0,2.0,3276.0,6.0,1.0,0.366798901,0.013195743999999999,0.0,0.0,0.0,0
171,69.0,0.0,15778.0,9.0,2.0,0.322390519,0.0,0.0,0.0,0.0,0
172,87.0,0.0,5000.0,13.0,1.0,,0.08830662199999999,0.0,0.0,0.0,0
173,51.0,3.0,6666.0,15.0,1.0,0.185090745,"0,00195284",0.0,0.0,0.0,0
174,45.0,2.0,20000.0,13.0,,0.348132593,0.180125242,1.0,0.0,0.0,0
175,41.0,1.0,5450.0,20.0,1.0,0.737112456,0.362689571,0.0,0.0,0.0,0
176,55.0,0.0,,6.0,2.0,0.250327342,0.061324163,0.0,0.0,0.0,0
177,47.0,2.0,,23.0,,0.9148569459999999,0.066050432,0.0,0.0,0.0,0
178,79.0,0.0,4800.0,6.0,0.0,0.004582379,,0.0,0.0,0.0,0
179,40.0,2.0,6450.0,7.0,1.0,0.305534026,0.10966301099999999,0.0,0.0,0.0,0
180,56.0,0.0,12924.0,5.0,2.0,0.45972920700000003,0.61587691,0.0,,0.0,0
181,60.0,0.0,5120.0,20.0,2.0,,0.0,,0.0,0.0,0
182,64.0,0.0,3235.0,2.0,0.0,0.008961680999999999,,0.0,0.0,0.0,0
183,51.0,0.0,2304.0,,1.0,0.6598698479999999,0.016964752,0.0,0.0,0.0,0
184,51.0,2.0,7642.0,5.0,0.0,0.029046186,0.102071834,0.0,0.0,0.0,0
185,30.0,0.0,1700.0,11.0,1.0,0.76366843,,1.0,3.0,0.0,1
186,53.0,1.0,11450.0,15.0,4.0,0.41061916,0.29990409999999995,1.0,0.0,,0
187,34.0,0.0,6600.0,6.0,0.0,0.06847447400000001,0.114677365,,0.0,0.0,0
188,56.0,0.0,8273.0,9.0,0.0,0.263113367,0.49826474,0.0,0.0,0.0,0
189,47.0,0.0,5700.0,10.0,0.0,0.07542536400000001,0.135636225,0.0,,0.0,0
190,65.0,2.0,9083.0,6.0,1.0,0.142558344,0.017278968000000002,0.0,0.0,0.0,0
191,32.0,0.0,4866.0,5.0,,0.19395931800000002,0.702999787,0.0,0.0,0.0,0
192,31.0,0.0,4275.0,3.0,0.0,0.13049579,"0,0",0.0,0.0,0.0,0
193,,1.0,1267.0,4.0,0.0,0.0,0.000354471,0.0,0.0,0.0,0
194,,0.0,2801.0,4.0,0.0,0.083511777,0.132437351,0.0,0.0,1.0,1
195,30.0,0.0,10596.0,10.0,2.0,0.212229876,0.165799805,0.0,0.0,0.0,0
196,62.0,2.0,3000.0,9.0,1.0,0.232922359,"0,0029966840000000003",0.0,0.0,0.0,0
197,89.0,0.0,5500.0,7.0,0.0,0.001817851,0.021248672000000003,0.0,0.0,0.0,0
198,86.0,0.0,7001.0,10.0,0.0,0.002427878,0.0039507990000000005,0.0,0.0,0.0,0
199,,0.0,,3.0,0.0,0.294840295,0.262172285,0.0,0.0,0.0,0
200,66.0,1.0,6600.0,3.0,0.0,0.074534161,"0,024999242",0.0,0.0,0.0,0
201,62.0,,5500.0,15.0,3.0,0.278858389,0.011880181,0.0,0.0,0.0,0
202,43.0,2.0,4500.0,5.0,,0.343923573,0.143346515,0.0,0.0,0.0,0
203,62.0,0.0,4047.0,5.0,1.0,0.257164032,0.0019023929999999998,0.0,0.0,,0
204,,0.0,2000.0,9.0,1.0,0.6491754120000001,0.004142265,1.0,0.0,0.0,0
205,58.0,2.0,13000.0,6.0,1.0,0.210522268,0.17667497199999999,1.0,0.0,0.0,0
206,55.0,0.0,3631.0,4.0,0.0,,0.176164767,0.0,0.0,0.0,0
207,46.0,3.0,8970.0,7.0,3.0,0.5180024520000001,0.239744273,0.0,0.0,0.0,0
208,69.0,0.0,6373.0,8.0,1.0,0.028553499,0.034779304,0.0,0.0,0.0,0
209,36.0,0.0,1000.0,7.0,1.0,2.638361638,0.06811832599999999,0.0,,0.0,0
210,44.0,3.0,1950.0,13.0,0.0,0.465914915,0.695262697,0.0,0.0,0.0,0
211,53.0,2.0,9500.0,13.0,2.0,0.497105568,0.769972001,1.0,0.0,0.0,0
212,61.0,0.0,4833.0,13.0,1.0,0.270997104,0.081409263,0.0,0.0,0.0,0
213,72.0,0.0,9166.0,4.0,0.0,0.004145304,0.014931336000000002,0.0,0.0,0.0,0
214,67.0,0.0,7144.0,9.0,1.0,0.158012596,0.19622272899999998,0.0,0.0,,0
215,38.0,2.0,12000.0,5.0,2.0,0.474377135,"0,161240615",0.0,0.0,0.0,0
216,50.0,2.0,1900.0,6.0,1.0,0.365071015,0.040988209,0.0,0.0,0.0,0
217,60.0,,12000.0,8.0,2.0,0.252062328,0.37284649,0.0,0.0,0.0,0
218,,0.0,4166.0,4.0,0.0,0.0,0.9999998999999999,0.0,0.0,0.0,0
219,,0.0,10000.0,5.0,,0.13928607099999998,,0.0,0.0,0.0,0
220,43.0,3.0,2100.0,5.0,0.0,0.338886245,"0,0",0.0,0.0,0.0,1
221,77.0,0.0,5500.0,5.0,0.0,0.06889656400000001,0.001863552,0.0,0.0,0.0,0
222,70.0,0.0,7294.0,7.0,2.0,0.5333790270000001,0.107926872,0.0,0.0,0.0,0
223,,0.0,,8.0,0.0,0.063045685,0.5074751239999999,3.0,0.0,0.0,0
224,26.0,0.0,400.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
225,31.0,1.0,8150.0,15.0,2.0,0.322782481,0.108975055,0.0,0.0,0.0,0
226,60.0,1.0,12233.0,6.0,2.0,0.252493052,0.236738163,0.0,0.0,0.0,0
227,,1.0,5416.0,15.0,,0.5021229460000001,0.262962598,0.0,0.0,0.0,0
228,33.0,2.0,5053.0,,0.0,0.161654135,0.7171314740000001,2.0,0.0,0.0,0
229,54.0,0.0,25166.0,17.0,1.0,0.12242222,0.05036434099999999,0.0,0.0,0.0,0
230,52.0,1.0,9333.0,12.0,1.0,0.3664024,0.874359682,0.0,0.0,0.0,0
231,77.0,0.0,2374.0,7.0,0.0,0.20800000000000002,"0,0",,0.0,0.0,0
232,55.0,0.0,4799.0,6.0,1.0,0.20875,0.797840432,1.0,0.0,0.0,0
233,70.0,0.0,7000.0,16.0,3.0,0.916583345,0.316222178,0.0,0.0,0.0,0
234,90.0,1.0,,6.0,1.0,0.856163405,"0,024614122000000002",0.0,0.0,0.0,0
235,85.0,0.0,3000.0,5.0,0.0,0.160279907,"0,0",1.0,0.0,0.0,0
236,76.0,2.0,1342.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
237,,0.0,8168.0,17.0,3.0,0.561023381,"0,8019447390000001",0.0,0.0,0.0,0
238,59.0,0.0,14166.0,5.0,,0.112867933,,,0.0,0.0,0
239,48.0,,10417.0,10.0,1.0,0.155020157,0.27712455,1.0,0.0,0.0,0
240,44.0,1.0,,11.0,2.0,0.670938215,0.077340952,1.0,0.0,0.0,0
241,31.0,0.0,726.0,3.0,0.0,0.004126547,0.9999998999999999,,,0.0,0
242,47.0,0.0,7646.0,1.0,0.0,0.08251601900000001,0.9999998999999999,1.0,0.0,0.0,1
243,30.0,0.0,6614.0,4.0,0.0,0.040816327,0.04075837,0.0,0.0,0.0,0
244,32.0,0.0,3400.0,6.0,1.0,0.318729785,,0.0,0.0,1.0,1
245,70.0,0.0,200.0,7.0,1.0,3.7512437810000003,0.0,0.0,0.0,0.0,0
246,48.0,1.0,4228.0,10.0,1.0,0.522818633,,0.0,0.0,0.0,0
247,39.0,,8833.0,9.0,1.0,0.38476341399999997,0.834056127,1.0,1.0,0.0,0
248,80.0,0.0,10060.0,,0.0,0.0034787790000000004,0.018886792,0.0,0.0,0.0,0
249,25.0,0.0,2300.0,3.0,0.0,0.152542373,"0,03992016",1.0,0.0,0.0,0
250,51.0,1.0,3340.0,9.0,1.0,0.57647411,"0,65200612",0.0,0.0,0.0,0
251,26.0,0.0,6500.0,11.0,0.0,0.197508076,,0.0,0.0,0.0,0
252,53.0,,9833.0,12.0,1.0,0.23225544,0.092346643,0.0,0.0,0.0,0
253,53.0,0.0,10578.0,10.0,2.0,0.473863314,0.042632162,0.0,0.0,0.0,1
254,72.0,1.0,5049.0,7.0,0.0,0.008712871,0.020445154,0.0,0.0,0.0,0
255,67.0,0.0,10416.0,6.0,2.0,0.126619948,0.0,0.0,0.0,0.0,0
256,54.0,1.0,3038.0,,2.0,0.8710102009999999,0.190915295,0.0,0.0,0.0,0
257,41.0,3.0,10833.0,4.0,1.0,0.236108547,0.9999998999999999,0.0,0.0,0.0,0
258,24.0,,820.0,,0.0,0.637028015,0.017535764,0.0,0.0,0.0,0
259,53.0,3.0,7000.0,13.0,1.0,0.43465219299999996,0.007185258000000001,0.0,0.0,0.0,0
260,,2.0,2750.0,10.0,2.0,0.937113777,0.99719653,0.0,0.0,0.0,0
261,69.0,2.0,11000.0,13.0,1.0,0.367784747,0.290135575,0.0,0.0,0.0,0
262,40.0,3.0,18136.0,8.0,2.0,0.35397254200000006,0.047256919,0.0,0.0,0.0,0
263,53.0,0.0,7700.0,9.0,0.0,0.238410596,0.61889853,0.0,0.0,0.0,0
264,62.0,0.0,1.0,8.0,1.0,1151.0,0.095732237,0.0,0.0,0.0,0
265,26.0,0.0,7000.0,8.0,0.0,0.097414655,0.683330953,1.0,0.0,0.0,0
266,63.0,0.0,10946.0,10.0,2.0,0.348680004,0.624907788,0.0,0.0,0.0,0
267,31.0,2.0,5030.0,3.0,0.0,0.02444842,"0,231179214",1.0,1.0,1.0,1
268,29.0,0.0,4000.0,,1.0,0.5333666579999999,0.184605918,0.0,0.0,0.0,0
269,35.0,1.0,6300.0,7.0,2.0,0.430883987,"0,47432373200000005",,0.0,0.0,0
270,54.0,0.0,3500.0,10.0,1.0,1.1399600109999999,0.29263885,0.0,0.0,0.0,0
271,38.0,1.0,8900.0,10.0,1.0,,0.089925878,0.0,0.0,0.0,0
272,68.0,0.0,7792.0,10.0,,0.500834082,,0.0,0.0,0.0,0
273,45.0,3.0,6736.0,8.0,2.0,0.42333382799999997,0.061234004,0.0,0.0,0.0,0
274,82.0,0.0,900.0,2.0,0.0,0.006659267,0.074973224,0.0,0.0,0.0,0
275,60.0,2.0,5372.0,8.0,1.0,0.229852969,0.13293396400000002,0.0,0.0,0.0,0
276,64.0,0.0,,27.0,1.0,0.922420731,0.858164908,0.0,0.0,0.0,0
277,30.0,2.0,3000.0,6.0,0.0,0.202932356,0.0,,1.0,0.0,0
278,,2.0,6000.0,8.0,1.0,0.280619897,0.46709109,0.0,0.0,,0
279,,3.0,11000.0,6.0,1.0,0.22652486100000002,0.08223702299999999,0.0,0.0,0.0,0
280,70.0,0.0,2083.0,10.0,0.0,0.0,0.0009739939999999999,0.0,0.0,0.0,0
281,41.0,3.0,5333.0,7.0,2.0,,"0,093490651",0.0,0.0,0.0,0
282,74.0,0.0,2083.0,8.0,1.0,0.94865643,0.37217336,0.0,0.0,0.0,0
283,48.0,1.0,5000.0,12.0,1.0,0.278944211,0.133131572,2.0,,0.0,1
284,,1.0,3565.0,6.0,1.0,0.457655637,0.531466886,0.0,0.0,0.0,0
285,,0.0,4500.0,8.0,1.0,0.38680293299999996,0.281043198,0.0,0.0,0.0,0
286,,3.0,14500.0,7.0,2.0,4.222743259,0.737175427,0.0,0.0,0.0,0
287,71.0,0.0,3200.0,5.0,0.0,0.00531084,0.018386503999999998,0.0,0.0,0.0,0
